Position;Name;Type;Signal;Label;
1;PE2;I/O;;;
2;PE3;I/O;;;
3;PE4;I/O;;;
4;PE5;I/O;;;
5;PE6;I/O;;;
6;VBAT;Power;;;
7;PC13;I/O;;;
8;PC14-OSC32_IN (PC14);I/O;RCC_OSC32_IN;;
9;PC15-OSC32_OUT (PC15);I/O;RCC_OSC32_OUT;;
10;PF0;I/O;;;
11;PF1;I/O;;;
12;PF2;I/O;;;
13;PF3;I/O;;;
14;PF4;I/O;;;
15;PF5;I/O;;;
16;VSS;Power;;;
17;VDD;Power;;;
18;PF6;I/O;;;
19;PF7;I/O;;;
20;PF8;I/O;;;
21;PF9;I/O;;;
22;PF10;I/O;;;
23;PH0-OSC_IN (PH0);I/O;;;
24;PH1-OSC_OUT (PH1);I/O;;;
25;NRST;Reset;;;
26;PC0;I/O;;;
27;PC1;I/O;;;
28;PC2;I/O;;;
29;PC3;I/O;;;
30;VSSA;Power;;;
31;VREF+;MonoIO;;;
32;VDDA;Power;;;
33;PA0;I/O;;;
34;PA1;I/O;;;
35;PA2;I/O;;;
36;PA3;Output;GPIO_Output;Horizontal_ENABLE;
37;VSS;Power;;;
38;VDD;Power;;;
39;PA4;I/O;;;
40;PA5;I/O;SPI1_SCK;SPI_CLK;
41;PA6;I/O;SPI1_MISO;SPI_MISO;
42;PA7;I/O;SPI1_MOSI;SPI_MOSI;
43;PB0;I/O;;;
44;PB1;I/O;GPIO_EXTI1;YLY;
45;PB2;I/O;GPIO_EXTI2;YLE;
46;PF11;Output;GPIO_Output;Vertical_ENABLE;
47;PF12;I/O;GPIO_EXTI12;USER_BUTTON;
48;VSS;Power;;;
49;VDD;Power;;;
50;PF13;I/O;;;
51;PF14;I/O;;;
52;PF15;I/O;;;
53;PG0;I/O;;;
54;PG1;I/O;;;
55;PE7;I/O;;;
56;PE8;I/O;;;
57;PE9;Output;GPIO_Output;BOOT;
58;VSS;Power;;;
59;VDD;Power;;;
60;PE10;Output;GPIO_Output;ZL_A_DIR;
61;PE11;Output;GPIO_Output;CHIP_EN;
62;PE12;I/O;;;
63;PE13;I/O;GPIO_EXTI13;SPI_RDY;
64;PE14;I/O;;;
65;PE15;I/O;;;
66;PB10;I/O;LPUART1_RX;;9600 baud _GPS
67;PB11;I/O;LPUART1_TX;;
68;VLXSMPS;Power;;;
69;VDDSMPS;Power;;;
70;VSSSMPS;Power;;;
71;VDD11;Power;;;
72;VSS;Power;;;
73;VDD;Power;;;
74;PB13;I/O;;;
75;PB14;I/O;GPIO_EXTI14;ZL;
76;PB15;I/O;GPIO_EXTI15;ZR;
77;PD8;I/O;;;
78;PD9;I/O;;;
79;PD10;Output;GPIO_Output;MXLE_Y_DIR;
80;PD11;Output;GPIO_Output;ZL_A_STEP;
81;PD12;Output;GPIO_Output;ZR_Z_DIR;
82;PD13;Output;GPIO_Output;ZR_Z_STEP;
83;VSS;Power;;;
84;VDD;Power;;;
85;PD14;Output;GPIO_Output;SPI_CS;
86;PD15;I/O;;;
87;PG2;Output;GPIO_Output;LED_RED;
88;PG3;I/O;;;
89;PG4;Output;GPIO_Output;MXRE_A_DIR;
90;PG5;Output;GPIO_Output;MXRI_Z_STEP;
91;PG6;Output;GPIO_Output;MXRE_A_STEP;
92;PG7;Output;GPIO_Output;MXRI_Z_DIR;
93;PG8;Output;GPIO_Output;MXLE_Y_STEP;
94;VSS;Power;;;
95;VDDIO2;Power;;;
96;PC6;I/O;;;
97;PC7;Output;GPIO_Output;LED_GREEN;
98;PC8;I/O;;;
99;PC9;I/O;;;
100;PA8;I/O;;;
101;PA9;I/O;USART1_TX;USART1_TX;
102;PA10;I/O;USART1_RX;USART1_RX;
103;PA11;I/O;;;
104;PA12;I/O;;;
105;PA13 (JTMS/SWDIO);I/O;DEBUG_JTMS-SWDIO;;
106;VDDUSB;Power;;;
107;VSS;Power;;;
108;VDD;Power;;;
109;PA14 (JTCK/SWCLK);I/O;DEBUG_JTCK-SWCLK;;
110;PA15 (JTDI);I/O;;;
111;PC10;I/O;;;
112;PC11;I/O;;;
113;PC12;I/O;;;
114;PD0;I/O;;;
115;PD1;I/O;;;
116;PD2;I/O;;;
117;PD3;I/O;;;
118;PD4;I/O;;;
119;PD5;I/O;;;
120;VSS;Power;;;
121;VDD;Power;;;
122;PD6;I/O;;;
123;PD7;I/O;;;
124;PG9;I/O;;;
125;PG10;I/O;;;
126;PG12;I/O;;;
127;PG13;I/O;;;
128;PG14;Output;GPIO_Output;MXLI_X_DIR;
129;VSS;Power;;;
130;VDDIO2;Power;;;
131;PG15;I/O;;;
132;PB3 (JTDO/TRACESWO);I/O;DEBUG_JTDO-SWO;;
133;PB4 (NJTRST);I/O;GPIO_EXTI4;YRE;
134;PB5;I/O;GPIO_EXTI5;YRI;
135;PB6;I/O;;;
136;PB7;Output;GPIO_Output;LED_BLUE;
137;PH3-BOOT0;I/O;;;
138;PB8;I/O;;;
139;PB9;I/O;;;
140;PE0;Output;GPIO_Output;MXLI_X_STEP;
141;PE1;I/O;;;
142;VDD11;Power;;;
143;VSS;Power;;;
144;VDD;Power;;;
